title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,BV,"[12, 28, 14]",en,30.579,6.4,8571.0,2011-05-20,2011.0,5.0
Dark Phoenix,350000000.0,42762350.0,149762350.0,,,,,,,,2019.0,6.0
Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,BV,"[28, 12, 878]",en,44.383,7.3,13457.0,2015-05-01,2015.0,5.0
Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,,,,,,,,2017.0,12.0
Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,,,,,,,,2015.0,12.0
Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,BV,"[12, 28, 14]",en,80.773,8.3,13948.0,2018-04-27,2018.0,4.0
Justice League,300000000.0,229024295.0,655945209.0,WB,"[28, 12, 14, 878]",en,34.953,6.2,7510.0,2017-11-17,2017.0,11.0
Spectre,300000000.0,200074175.0,879620923.0,Sony,"[28, 12, 80]",en,30.318,6.4,6719.0,2015-11-06,2015.0,11.0
The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,WB,"[28, 80, 18, 53]",en,26.22,7.7,13933.0,2012-07-20,2012.0,7.0
Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,BV,"[28, 12, 878]",en,29.502,6.6,3838.0,2018-05-25,2018.0,5.0
The Lone Ranger,275000000.0,89302115.0,260002115.0,BV,"[28, 12, 37]",en,12.482,6.0,3789.0,2013-07-03,2013.0,7.0
John Carter,275000000.0,73058679.0,282778100.0,BV,"[28, 12, 878]",en,18.549,6.1,3338.0,2012-03-09,2012.0,3.0
Tangled,260000000.0,200821936.0,586477240.0,BV,"[16, 10751]",en,21.511,7.5,6407.0,2010-11-24,2010.0,11.0
Captain America: Civil War,250000000.0,408084349.0,1140069413.0,BV,"[12, 28, 878]",en,39.137,7.4,14000.0,2016-05-06,2016.0,5.0
Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,WB,"[28, 12, 14]",en,28.088,5.8,11991.0,2016-03-25,2016.0,3.0
The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,WB (NL),"[12, 14, 28]",en,26.939,7.2,12076.0,2012-12-14,2012.0,12.0
The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,WB (NL),"[12, 14, 28]",en,21.275,7.6,7739.0,2013-12-13,2013.0,12.0
The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,WB (NL),"[28, 12, 14]",en,53.783,7.3,8392.0,2014-12-17,2014.0,12.0
The Fate of the Furious,250000000.0,225764765.0,1234846267.0,Uni.,"[28, 80, 53]",en,28.668000000000006,6.9,6335.0,2017-04-14,2017.0,4.0
Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,BV,"[12, 28, 14, 35]",en,28.101,6.6,6931.0,2017-05-26,2017.0,5.0
The Avengers,225000000.0,623279547.0,1517935897.0,,"[878, 28, 12]",en,50.289,7.6,19673.0,2012-05-04,2012.0,5.0
Man of Steel,225000000.0,291045518.0,667999518.0,WB,"[28, 12, 14, 878]",en,27.667,6.5,9758.0,2013-06-14,2013.0,6.0
The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,Sony,"[28, 12, 14]",en,24.391,6.5,10411.0,2012-07-04,2012.0,7.0
Battleship,220000000.0,65233400.0,313477717.0,Uni.,"[53, 28, 12, 878]",en,21.742,5.6,3240.0,2012-05-18,2012.0,5.0
Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,Par.,"[28, 878, 53, 12]",en,24.258000000000006,6.0,3255.0,2017-06-21,2017.0,6.0
Jurassic World,215000000.0,652270625.0,1648854864.0,Uni.,"[28, 12, 878, 53]",en,20.709,6.6,14056.0,2015-06-12,2015.0,6.0
Men in Black 3,215000000.0,179020854.0,654213485.0,,"[28, 35, 878]",en,26.176,6.4,6398.0,2012-05-25,2012.0,5.0
Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,Par.,"[878, 28, 12]",en,20.961,5.8,4805.0,2014-06-27,2014.0,6.0
Black Panther,200000000.0,700059566.0,1348258224.0,BV,"[28, 16]",en,2.0580000000000003,5.1,11.0,2011-01-18,2011.0,1.0
Incredibles 2,200000000.0,608581744.0,1242520711.0,BV,"[28, 12, 16, 10751]",en,36.286,7.6,6354.0,2018-06-15,2018.0,6.0
Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,BV,"[28, 12, 878]",en,21.401,7.5,9296.0,2016-12-16,2016.0,12.0
Finding Dory,200000000.0,486295561.0,1021215193.0,BV,"[12, 16, 35, 10751]",en,15.393,7.0,7845.0,2016-06-17,2016.0,6.0
Toy Story 3,200000000.0,415004880.0,1068879522.0,BV,"[16, 10751, 35]",en,24.445,7.7,8340.0,2010-06-17,2010.0,6.0
Iron Man 3,200000000.0,408992272.0,1215392272.0,BV,"[28, 12, 878]",en,32.093,6.9,14155.0,2013-05-03,2013.0,5.0
Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,,,,,,,,2017.0,5.0
Alice in Wonderland,200000000.0,334191110.0,1025491110.0,,"[10751, 14, 12]",en,22.02,6.6,8713.0,2010-03-05,2010.0,3.0
Skyfall,200000000.0,304360277.0,1110526981.0,Sony,"[28, 12, 53]",en,19.27,7.1,10441.0,2012-11-09,2012.0,11.0
Monsters University,200000000.0,268488329.0,743588329.0,BV,"[16, 10751]",en,20.33,7.0,6362.0,2013-06-21,2013.0,6.0
Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,,"[14, 12, 10751]",en,13.377,5.8,4829.0,2013-03-08,2013.0,3.0
X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,Fox,"[28, 12, 14, 878]",en,41.867,7.5,10062.0,2014-05-23,2014.0,5.0
The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,Sony,"[28, 12, 14]",en,20.847,6.4,7220.0,2014-05-02,2014.0,5.0
Cars 2,200000000.0,191450875.0,560155383.0,BV,"[16, 10751, 12, 35]",en,23.498,5.9,4058.0,2011-06-16,2011.0,6.0
Tron: Legacy,200000000.0,172062763.0,400062763.0,,,,,,,,2010.0,12.0
Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,WB,[12],en,48.508,6.9,4870.0,2018-11-16,2018.0,11.0
Green Lantern,200000000.0,116601172.0,219535492.0,WB,"[12, 28, 53, 878]",en,17.257,5.1,4290.0,2011-06-17,2011.0,6.0
Prince of Persia: Sands of Time,200000000.0,90759676.0,336359676.0,,,,,,,,2010.0,5.0
Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,P/DW,"[28, 878, 12]",en,5.339,6.1,4961.0,2011-06-28,2011.0,6.0
The Mummy,195000000.0,80101125.0,409953905.0,,"[14, 53, 28, 12, 27]",en,18.53,5.5,4391.0,2017-06-09,2017.0,6.0
Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,WB (NL),"[28, 12, 10751, 14]",en,12.773,5.6,3403.0,2013-03-01,2013.0,3.0
Furious 7,190000000.0,353007020.0,1518722794.0,Uni.,"[28, 80, 53]",en,20.396,7.3,6538.0,2015-04-03,2015.0,4.0
Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,Par.,"[28, 12, 878]",en,20.487,7.4,6182.0,2013-05-16,2013.0,5.0
World War Z,190000000.0,202359711.0,531514650.0,Par.,"[28, 18, 27, 878, 53]",en,14.582,6.7,9132.0,2013-06-21,2013.0,6.0
The Great Gatsby,190000000.0,144840419.0,351040419.0,,"[18, 10749]",en,15.397,7.4,7120.0,2013-05-10,2013.0,5.0
Pacific Rim,190000000.0,101802906.0,411002906.0,WB,"[28, 878, 12]",en,16.759,6.8,7632.0,2013-07-12,2013.0,7.0
The Good Dinosaur,187500000.0,123087120.0,333771037.0,BV,"[12, 16, 10751]",en,17.675,6.7,3135.0,2015-11-25,2015.0,11.0
Brave,185000000.0,237282182.0,554606532.0,BV,[28],th,0.6,5.0,1.0,2010-01-19,2010.0,1.0
Kong: Skull Island,185000000.0,168052812.0,561072059.0,WB,"[28, 12, 14]",en,29.388,6.3,6054.0,2017-03-10,2017.0,3.0
Star Trek Beyond,185000000.0,158848340.0,335802233.0,Par.,"[28, 12, 878]",en,19.142,6.7,4275.0,2016-07-22,2016.0,7.0
Blade Runner 2049,185000000.0,92054159.0,259357408.0,WB,"[878, 28, 53]",en,48.57100000000001,7.4,6679.0,2017-10-06,2017.0,10.0
Aladdin,182000000.0,246734314.0,619234314.0,,,,,,,,2019.0,5.0
Thor: Ragnarok,180000000.0,315058289.0,846980024.0,BV,"[28, 12, 35, 14]",en,43.45,7.5,11380.0,2017-11-03,2017.0,11.0
Maleficent,180000000.0,241407328.0,758536735.0,BV,"[14, 12, 28, 10751, 10749]",en,19.274,7.0,8143.0,2014-05-30,2014.0,5.0
Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,,"[12, 10751, 14]",en,28.563,7.4,12152.0,2016-11-18,2016.0,11.0
The Legend of Tarzan,180000000.0,126643061.0,348902025.0,WB,"[28, 12]",en,14.797,5.8,4102.0,2016-07-01,2016.0,7.0
Hugo,180000000.0,73864507.0,180047784.0,Par.,"[12, 18, 10751]",en,12.936,7.1,4124.0,2011-11-23,2011.0,11.0
Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,STX,"[12, 878, 28]",en,24.003,6.6,4149.0,2017-07-21,2017.0,7.0
Jupiter Ascending,179000000.0,47482519.0,181982519.0,WB,"[878, 14, 28, 12]",en,24.058000000000003,5.3,4401.0,2015-02-27,2015.0,2.0
Mission: ImpossibleâFallout,178000000.0,220159104.0,787456552.0,,,,,,,,2018.0,7.0
X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,Fox,"[28, 12, 878, 14]",en,39.293,6.5,8348.0,2016-05-27,2016.0,5.0
The Meg,178000000.0,145443742.0,529530715.0,WB,"[28, 878, 53, 27]",en,31.397,5.9,2896.0,2018-08-10,2018.0,8.0
Edge of Tomorrow,178000000.0,100206256.0,370541256.0,WB,"[28, 878]",en,19.753,7.6,8047.0,2014-06-06,2014.0,6.0
Captain Marvel,175000000.0,426525952.0,1123061550.0,,,,,,,,2019.0,3.0
The Jungle Book,175000000.0,364001123.0,962854547.0,,"[12, 18, 10751, 14]",en,20.129,6.8,5257.0,2016-04-15,2016.0,4.0
Inside Out,175000000.0,356461711.0,854235992.0,BV,"[18, 80]",en,4.758,4.4,18.0,2011-09-27,2011.0,9.0
Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,Sony,"[28, 12, 878, 18]",en,46.775,7.4,11585.0,2017-07-07,2017.0,7.0
Suicide Squad,175000000.0,325100054.0,746059887.0,WB,"[28, 12, 80, 14, 878]",en,16.53,5.9,13533.0,2016-08-05,2016.0,8.0
Coco,175000000.0,209726015.0,798008101.0,BV,"[16, 10751, 35, 12, 14]",en,25.961,8.2,8669.0,2017-11-22,2017.0,11.0
Ralph Breaks The Internet,175000000.0,201091711.0,524283695.0,,,,,,,,2018.0,11.0
Cars 3,175000000.0,152901115.0,383541369.0,BV,"[12, 16, 35, 10751]",en,18.427,6.7,2596.0,2017-06-16,2017.0,6.0
King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,WB,"[28, 18, 14]",en,21.793000000000006,6.5,3305.0,2017-05-12,2017.0,5.0
47 Ronin,175000000.0,38362475.0,151716815.0,Uni.,"[18, 28, 12, 14]",en,25.049,6.0,2080.0,2013-12-25,2013.0,12.0
Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,Uni.,"[28, 12, 878]",en,34.958,6.5,5995.0,2018-06-22,2018.0,6.0
Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,BV,"[28, 878, 12]",en,49.606,7.9,17958.0,2014-08-01,2014.0,8.0
Iron Man 2,170000000.0,312433331.0,621156389.0,Par.,"[12, 28, 878]",en,28.515,6.8,12368.0,2010-05-07,2010.0,5.0
Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,BV,"[28, 12, 878]",en,18.073,7.7,11034.0,2014-04-04,2014.0,4.0
Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,Fox,"[878, 28, 18, 53]",en,27.641,7.3,7080.0,2014-07-11,2014.0,7.0
Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,Uni.,"[12, 14, 18]",en,21.233,5.9,5258.0,2012-06-01,2012.0,6.0
Dumbo,170000000.0,113883318.0,345004422.0,,,,,,,,2019.0,3.0
Tomorrowland,170000000.0,93436322.0,206627518.0,BV,"[12, 10751, 9648, 878]",en,20.136,6.2,4610.0,2015-05-22,2015.0,5.0
Alita: Battle Angel,170000000.0,85710210.0,402976036.0,,,,,,,,2019.0,2.0
Godzilla: King of the Monsters,170000000.0,85576941.0,299276941.0,,,,,,,,2019.0,5.0
Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,BV,"[12, 10751, 14]",en,16.642,6.5,3803.0,2016-05-27,2016.0,5.0
Shrek Forever After,165000000.0,238736787.0,756244673.0,P/DW,"[35, 12, 14, 16, 10751]",en,15.041,6.1,3843.0,2010-05-16,2010.0,5.0
Doctor Strange,165000000.0,232641920.0,676404566.0,BV,"[28, 12, 14, 878]",en,33.035,7.3,12582.0,2016-11-04,2016.0,11.0
Big Hero 6,165000000.0,222527828.0,652127828.0,BV,"[12, 10751, 16, 28, 35]",en,36.92,7.8,10176.0,2014-11-07,2014.0,11.0
How to Train Your Dragon,165000000.0,217581232.0,494870992.0,P/DW,"[14, 12, 16, 10751]",en,28.734,7.7,7610.0,2010-03-26,2010.0,3.0
Wreck-It Ralph,165000000.0,189412677.0,496511521.0,BV,"[10751, 16, 35, 12]",en,22.967,7.3,7780.0,2012-11-02,2012.0,11.0
Interstellar,165000000.0,188017894.0,666379375.0,Par.,"[12, 18, 878]",en,28.44,8.2,18597.0,2014-11-05,2014.0,11.0
Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,Fox,"[28, 12, 878]",en,15.732,5.1,3911.0,2016-06-24,2016.0,6.0
Cowboys and Aliens,163000000.0,100368560.0,176038324.0,,,,,,,,2011.0,7.0
Beauty and the Beast,160000000.0,504014165.0,1259199706.0,,"[10749, 10751, 16, 14]",en,26.701,7.7,5730.0,2012-01-13,2012.0,1.0
Aquaman,160000000.0,335061807.0,1146894640.0,WB,"[28, 12, 14]",en,38.102,6.8,6155.0,2018-12-21,2018.0,12.0
Inception,160000000.0,292576195.0,835524642.0,WB,"[28, 878, 12]",en,27.92,8.3,22186.0,2010-07-16,2010.0,7.0
The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,LGF,"[28, 12, 878]",en,19.487,6.8,7609.0,2015-11-18,2015.0,11.0
Fast and Furious 6,160000000.0,238679850.0,789300444.0,,,,,,,,2013.0,5.0
Godzilla,160000000.0,200676069.0,529076069.0,,"[28, 18, 878]",en,24.982,6.1,5053.0,2014-05-16,2014.0,5.0
X-Men: First Class,160000000.0,146408305.0,355408305.0,Fox,"[28, 878, 12]",en,1.4469999999999998,7.2,8211.0,2011-06-03,2011.0,6.0
The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,BV,"[14, 12, 28, 35, 18]",en,14.463,5.9,2879.0,2010-07-13,2010.0,7.0
Warcraft,160000000.0,47225655.0,425522281.0,Uni.,"[28, 12, 14]",en,21.464,6.3,4071.0,2016-06-10,2016.0,6.0
Deepwater Horizon,156000000.0,61433527.0,122603824.0,LG/S,"[18, 28]",en,13.685,6.7,2606.0,2016-09-30,2016.0,9.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,Fox,"[12, 10751, 14]",en,17.382,6.3,3196.0,2010-12-10,2010.0,12.0
Terminator: Genisys,155000000.0,89760956.0,432150894.0,Par.,,,,,,,2015.0,7.0
Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,,"[28, 14, 878, 12]",en,30.019,5.9,2213.0,2018-03-23,2018.0,3.0
War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,Fox,"[18, 878, 10752]",en,23.445,7.0,5235.0,2017-07-14,2017.0,7.0
Wonder Woman,150000000.0,412563408.0,821133378.0,WB,"[28, 14]",en,2.841,5.9,34.0,2013-09-29,2013.0,9.0
Frozen,150000000.0,400738009.0,1272469910.0,BV,[53],en,9.678,5.8,987.0,2010-02-05,2010.0,2.0
Zootopia,150000000.0,341268248.0,1019429616.0,BV,"[16, 12, 10751, 35]",en,27.549,7.7,9977.0,2016-03-04,2016.0,3.0
Moana,150000000.0,248757044.0,637517365.0,BV,[99],en,1.96,6.5,16.0,2015-11-13,2015.0,11.0
Thor: The Dark World,150000000.0,206362140.0,644602516.0,BV,"[28, 12, 14]",en,31.014,6.7,10171.0,2013-11-08,2013.0,11.0
Mission: ImpossibleâRogue Nation,150000000.0,195042377.0,688858992.0,,,,,,,,2015.0,7.0
Dunkirk,150000000.0,190068280.0,499837368.0,WB,"[10752, 28, 18]",en,24.358,7.4,9156.0,2017-07-19,2017.0,7.0
Thor,150000000.0,181030624.0,449326618.0,Par.,"[12, 14, 28]",en,38.06800000000001,6.7,12764.0,2011-05-06,2011.0,5.0
Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,P/DW,"[16, 10751]",en,17.363,6.7,3628.0,2011-05-25,2011.0,5.0
Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,WB,"[28, 12, 878]",en,28.099,7.4,14454.0,2015-05-15,2015.0,5.0
PokÃ©mon: Detective Pikachu,150000000.0,139507806.0,411258433.0,,,,,,,,2019.0,5.0
Ready Player One,150000000.0,137690172.0,579290136.0,WB,"[12, 878]",en,30.029,7.6,7021.0,2018-03-29,2018.0,3.0
The Last Airbender,150000000.0,131772187.0,319713881.0,Par.,"[28, 12, 10751, 14]",en,16.595,4.6,2143.0,2010-07-01,2010.0,7.0
Wrath of the Titans,150000000.0,83670083.0,305270083.0,WB,"[14, 12, 28]",en,14.991,5.6,2442.0,2012-03-29,2012.0,3.0
Dark Shadows,150000000.0,79727149.0,238202668.0,WB,"[35, 14]",en,15.75,5.9,4197.0,2012-05-11,2012.0,5.0
White House Down,150000000.0,73103784.0,205440387.0,Sony,"[28, 18, 53]",en,13.026,6.4,2817.0,2013-06-28,2013.0,6.0
The Wolfman,150000000.0,62189884.0,142634358.0,Uni.,[27],en,14.03,5.7,1009.0,2010-02-12,2010.0,2.0
The Great Wall,150000000.0,45157105.0,334486852.0,Uni.,"[28, 12, 14]",en,19.144,5.8,2775.0,2017-02-17,2017.0,2.0
Pan,150000000.0,35088320.0,151525973.0,WB,"[12, 10751, 14]",en,13.054,5.9,1701.0,2015-10-09,2015.0,10.0
Mars Needs Moms,150000000.0,21392758.0,39549758.0,BV,"[12, 16, 10751]",en,8.852,5.7,299.0,2011-03-11,2011.0,3.0
Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,P/DW,"[16, 10751, 35]",en,18.705,6.5,3380.0,2012-06-08,2012.0,6.0
Mission: ImpossibleâGhost Protocol,145000000.0,209397903.0,694713230.0,,,,,,,,2011.0,12.0
How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,Fox,"[14, 28, 12, 16, 35, 10751]",en,27.106,7.7,5589.0,2014-06-13,2014.0,6.0
Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,Fox,"[16, 12, 10751]",en,12.813,6.6,1357.0,2014-03-07,2014.0,3.0
Rise of the Guardians,145000000.0,103412758.0,306900902.0,P/DW,"[16, 10751, 14]",en,14.934,7.3,3697.0,2012-11-21,2012.0,11.0
Ghostbusters,144000000.0,128350574.0,229008658.0,,"[28, 14, 35]",en,16.079,5.4,3780.0,2016-07-15,2016.0,7.0
Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,Par.,"[28, 12, 878]",en,25.808000000000003,6.9,12810.0,2011-07-22,2011.0,7.0
Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,Fox,"[28, 12, 16, 35, 10751]",en,16.248,6.7,2944.0,2016-01-29,2016.0,1.0
G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,Par.,"[12, 28, 878, 53]",en,15.065,5.5,3883.0,2013-03-29,2013.0,3.0
Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,Fox,"[12, 18, 28]",en,26.789,5.7,2909.0,2014-12-12,2014.0,12.0
The BFG,140000000.0,55483770.0,199646680.0,BV,"[12, 10751, 14]",en,20.08,6.2,1916.0,2016-07-01,2016.0,7.0
Gods of Egypt,140000000.0,31153464.0,138836756.0,LG/S,"[28, 12, 14, 878]",en,18.517,5.4,2353.0,2016-02-26,2016.0,2.0
"The Twilight Saga: Breaking Dawn, Part 2",136200000.0,292324737.0,829724737.0,,,,,,,,2012.0,11.0
The Croods,135000000.0,187168425.0,573068425.0,Fox,"[28, 12, 16, 35, 10751, 14]",en,16.29,6.8,3873.0,2013-03-22,2013.0,3.0
The Revenant,135000000.0,183637894.0,532938302.0,Fox,"[37, 18, 12]",en,19.41,7.4,11064.0,2015-12-25,2015.0,12.0
Rango,135000000.0,123477607.0,245724600.0,Par.,"[16, 35, 10751, 37, 12]",en,14.462,6.6,3412.0,2011-03-03,2011.0,3.0
Turbo,135000000.0,83028130.0,286896578.0,Fox,"[16, 10751]",en,14.876,6.1,1758.0,2013-07-19,2013.0,7.0
Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,Par.,"[28, 12, 35, 10751, 878]",en,15.095999999999998,5.9,1860.0,2016-06-03,2016.0,6.0
Happy Feet Two,135000000.0,64006466.0,157956466.0,WB,"[16, 35, 10751]",en,8.131,5.9,754.0,2011-11-17,2011.0,11.0
The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,BV,"[14, 12, 10751]",en,26.235,6.0,909.0,2018-11-02,2018.0,11.0
Penguins of Madagascar,132000000.0,83350911.0,366942531.0,Fox,"[10751, 16, 12, 35]",en,20.899,6.4,2273.0,2014-11-26,2014.0,11.0
The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,LGF,"[12, 28, 878]",en,20.187,7.4,11170.0,2013-11-22,2013.0,11.0
Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,BV,"[28, 12, 878, 35]",en,44.729,7.0,6290.0,2018-07-06,2018.0,7.0
Ant-Man,130000000.0,180202163.0,518858449.0,BV,"[878, 28, 12]",en,32.715,7.1,11949.0,2015-07-17,2015.0,7.0
Home,130000000.0,177397510.0,385997896.0,,"[18, 9648]",ru,1.823,5.4,11.0,2011-11-11,2011.0,11.0
Mary Poppins Returns,130000000.0,171958438.0,341528518.0,BV,"[14, 10751, 35]",en,30.419,6.6,1457.0,2018-12-19,2018.0,12.0
Puss in Boots,130000000.0,149260504.0,554987477.0,P/DW,"[28, 12, 16, 10751, 14, 35]",en,9.078,6.3,1422.0,2011-10-28,2011.0,10.0
Megamind,130000000.0,148415853.0,321887208.0,P/DW,"[16, 28, 35, 10751, 878]",en,22.855,6.8,3635.0,2010-11-04,2010.0,11.0
Rio 2,130000000.0,131538435.0,492846291.0,Fox,"[12, 35, 10751, 16]",en,18.11,6.3,1803.0,2014-04-11,2014.0,4.0
Salt,130000000.0,118311368.0,290650494.0,Sony,"[28, 9648, 53]",en,13.025,6.3,3240.0,2010-07-23,2010.0,7.0
Noah,130000000.0,101200044.0,352831065.0,Par.,[18],en,0.6,7.6,11.0,2013-09-09,2013.0,9.0
The Adventures of Tintin,130000000.0,77591831.0,373993951.0,Par.,"[12, 16, 9648]",en,11.981,6.8,3251.0,2011-12-20,2011.0,12.0
After Earth,130000000.0,60522097.0,251499665.0,Sony,"[878, 28, 12]",en,14.415,5.1,4154.0,2013-05-31,2013.0,5.0
R.I.P.D.,130000000.0,33618855.0,79076678.0,Uni.,"[14, 28, 35, 80]",en,21.377,5.6,2047.0,2013-07-19,2013.0,7.0
How to Train Your Dragon: The Hidden World,129000000.0,160791800.0,519258283.0,,,,,,,,2019.0,2.0
"The Twilight Saga: Breaking Dawn, Part 1",127500000.0,281287133.0,689420051.0,,,,,,,,2011.0,11.0
Logan,127000000.0,226277068.0,615461394.0,,"[35, 18, 10751]",en,0.964,6.1,4.0,2010-09-10,2010.0,9.0
Night at the Museum: Secret of the Tomb,127000000.0,113746621.0,353756621.0,Fox,"[12, 35, 14, 10751]",en,20.064,6.1,3536.0,2014-12-19,2014.0,12.0
Harry Potter and the Deathly Hallows: Part II,125000000.0,381193157.0,1341693157.0,,,,,,,,2011.0,7.0
The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,LGF,"[878, 12, 53]",en,33.837,6.8,10087.0,2014-11-21,2014.0,11.0
Harry Potter and the Deathly Hallows: Part I,125000000.0,296131568.0,960431568.0,,,,,,,,2010.0,11.0
Fast Five,125000000.0,210031325.0,630163454.0,Uni.,"[28, 53, 80]",en,2.097,7.2,4294.0,2011-04-28,2011.0,4.0
Teenage Mutant Ninja Turtles,125000000.0,191204754.0,485004754.0,,"[878, 28, 12, 14, 35]",en,25.619,5.8,4259.0,2014-08-08,2014.0,8.0
Sherlock Holmes: A Game of Shadows,125000000.0,186848418.0,535663443.0,WB,"[12, 28, 80, 9648]",en,18.301,7.1,6380.0,2011-12-16,2011.0,12.0
The Boss Baby,125000000.0,175003033.0,510878762.0,Fox,"[16, 35, 10751]",en,7.445,6.4,4314.0,2017-03-31,2017.0,3.0
Clash of the Titans,125000000.0,163214888.0,493214888.0,,"[12, 14, 28]",en,15.574000000000002,5.7,3714.0,2010-04-02,2010.0,4.0
Trolls,125000000.0,153707064.0,344150134.0,Fox,"[12, 10751, 35, 14, 10402, 16]",en,16.285999999999998,6.6,1880.0,2016-11-04,2016.0,11.0
Prometheus,125000000.0,126477084.0,402448265.0,Fox,"[878, 12, 9648]",en,24.98,6.4,7384.0,2012-06-08,2012.0,6.0
The Bourne Legacy,125000000.0,113203870.0,280355920.0,Uni.,"[28, 53]",en,18.05,6.1,3630.0,2012-08-10,2012.0,8.0
Skyscraper,125000000.0,68420120.0,304115534.0,Uni.,[28],en,26.229,6.1,2177.0,2018-07-13,2018.0,7.0
Total Recall,125000000.0,58877969.0,211856088.0,,"[28, 878, 12, 53]",en,17.243,5.9,3486.0,2012-08-03,2012.0,8.0
Assassinâs Creed,125000000.0,54647948.0,240759682.0,,,,,,,,2016.0,12.0
Monster Trucks,125000000.0,33370166.0,61642798.0,Par.,"[28, 35, 878]",en,8.827,5.9,414.0,2017-01-13,2017.0,1.0
Jason Bourne,120000000.0,162192920.0,416168316.0,Uni.,"[28, 53]",en,14.568,6.1,3611.0,2016-07-29,2016.0,7.0
Life of Pi,120000000.0,124987022.0,620912003.0,Fox,"[12, 18, 28]",en,15.0,7.3,8723.0,2012-11-21,2012.0,11.0
Rampage,120000000.0,101028233.0,428056280.0,,"[28, 12, 878, 14]",en,24.238000000000003,6.2,3176.0,2018-04-13,2018.0,4.0
Elysium,120000000.0,93050117.0,286192091.0,TriS,"[878, 28, 18, 53]",en,17.663,6.4,5406.0,2013-08-09,2013.0,8.0
Oblivion,120000000.0,89107235.0,287916633.0,Uni.,"[28, 878, 12, 9648]",en,18.534,6.5,6850.0,2013-04-18,2013.0,4.0
Power Rangers,120000000.0,85364450.0,142531552.0,,"[28, 12, 878]",en,15.865,6.2,2667.0,2017-03-24,2017.0,3.0
RoboCop,120000000.0,58607007.0,242981799.0,,"[28, 878]",en,17.851,5.8,3390.0,2014-02-12,2014.0,2.0
Fantastic Four,120000000.0,56117548.0,167849187.0,Fox,"[28, 12, 878]",en,16.36,4.4,3837.0,2015-08-07,2015.0,8.0
